Company Title,Company Links,Company Description,Leak Published Date,Number of visits,Leak Size
Ginspectionservices,website:  https://www.ginspectionservices.com/,"files:  Financial documents, correspondence with bank employees, account movements, balance sheets, tax documents, compensation, source code.",Date the files were received:  20 September 2022,,
Skupstina,website:  https://www.skupstina.me,"files:  Financial documents, correspondence with bank employees, account movements, balance sheets, tax documents, compensation, source code.",Date the files were received:  19 August 2022,,
Site-technology,website:  https://www.site-technology.com,"files:  Financial documents, correspondence with bank employees, account movements, balance sheets, tax documents, compensation, source code.",Date the files were received:  19 July 2022,,
Stm.com.tw,website:  http://stm.com.tw/,"files:  Financial documents, correspondence with bank employees, account movements, balance sheets, tax documents, compensation, source code.",Date the files were received: 04 July 2022,,
R1group,website:  https://r1group.it,"files:  Financial documents, correspondence with bank employees, account movements, balance sheets, tax documents, compensation, source code.",Date the files were received: 22 June 2022,,
